Estructura con bloques continuos, mismo estilo, mismo formato, solo cambiando las fechas al rango 20/11/2025 al 25/11/2025.

20/11/2025 9:00	20/11/2025 9:30
20/11/2025 9:30	20/11/2025 10:00
20/11/2025 10:00	20/11/2025 10:30
20/11/2025 10:30	20/11/2025 11:00
20/11/2025 11:00	20/11/2025 11:30
20/11/2025 11:30	20/11/2025 12:00
20/11/2025 12:00	20/11/2025 12:30
20/11/2025 12:30	20/11/2025 13:00
20/11/2025 14:00	20/11/2025 14:30
20/11/2025 14:30	20/11/2025 15:00
20/11/2025 15:00	20/11/2025 15:30
20/11/2025 15:30	20/11/2025 16:00
20/11/2025 16:00	20/11/2025 16:30
20/11/2025 16:30	20/11/2025 17:00
20/11/2025 17:00	20/11/2025 17:30
20/11/2025 17:30	20/11/2025 18:00
